Date,Open,High,Low,Close,Adj Close,Volume
2007-05-21,52.645161,52.801842,52.387096,52.599079,38.639126,507600
2007-05-22,52.488480,52.571430,52.092167,52.239632,38.375080,469200
2007-05-23,53.032257,53.179722,52.562210,52.580647,38.625580,349000
2007-05-24,52.672810,53.152073,51.907833,52.055298,38.239658,578800
2007-05-25,52.857143,52.912441,52.534561,52.857143,38.828690,413800
2007-05-29,52.599079,53.649769,52.525345,53.382488,39.214603,524300
2007-05-30,52.645161,53.456223,52.645161,53.078342,38.991180,325300
2007-05-31,53.133640,53.133640,52.138248,52.746544,38.747452,313100
2007-06-01,52.820278,53.437790,52.709679,53.271889,39.133362,320600
2007-06-04,53.778801,54.000000,53.705070,54.000000,39.668240,448100
2007-06-05,54.387096,54.617512,53.917049,54.101383,39.742710,420800
2007-06-06,54.018433,54.018433,53.262672,53.714287,39.458351,644000
2007-06-07,53.013824,53.317974,52.387096,52.387096,38.483410,597600
2007-06-08,51.898617,52.894009,51.751152,52.820278,38.801620,510800
2007-06-11,53.271889,53.668201,53.096775,53.419353,39.241692,349600
2007-06-12,53.419353,53.769585,53.013824,53.078342,38.991180,246900
2007-06-13,53.400921,53.834103,53.050690,53.778801,39.505745,1013100
2007-06-14,53.686634,53.926266,53.612904,53.907833,39.600529,658700
2007-06-15,54.368664,54.645161,54.101383,54.488480,40.027069,304500
2007-06-18,54.995392,55.152073,54.258064,54.580647,40.094772,235100
2007-06-19,54.875576,54.930874,54.580647,54.847927,40.291122,170300
2007-06-20,54.599079,54.746544,54.055298,54.119816,39.756252,299100
2007-06-21,53.585255,53.889400,53.152073,53.640553,39.404186,437200
2007-06-22,53.179722,53.262672,52.516129,52.571430,38.618809,398600
2007-06-25,52.635944,53.179722,52.156681,52.350231,38.456318,636500
2007-06-26,52.488480,52.516129,52.009216,52.147465,38.307365,387000
2007-06-27,51.244240,52.156681,51.152073,52.082951,38.259979,291100
2007-06-28,51.585255,51.797234,51.262672,51.493088,37.826672,508700
2007-06-29,51.354839,51.760368,51.152073,51.419353,37.772495,710600
2007-07-02,51.410137,51.953918,51.373272,51.953918,38.165199,667700
2007-07-03,51.953918,52.046082,51.741936,51.898617,38.124561,467500
2007-07-05,53.013824,53.179722,52.442398,52.875576,38.842236,400300
2007-07-06,53.004608,53.364056,52.884792,53.271889,39.133362,135200
2007-07-09,53.585255,53.622120,53.419353,53.566822,39.350025,420000
2007-07-10,52.949310,53.290321,52.663593,52.709679,38.720371,475000
2007-07-11,52.894009,53.198158,52.700462,53.078342,38.991180,468200
2007-07-12,53.778801,54.442398,53.612904,54.331799,39.911972,400400
2007-07-13,54.470047,54.645161,54.184330,54.608295,40.115086,391900
2007-07-16,55.179722,55.244240,54.562210,54.599079,40.108307,558400
2007-07-17,55.115208,55.557602,55.059906,55.059906,40.446838,548500
2007-07-18,55.115208,55.714287,54.811058,55.391705,40.690567,688900
2007-07-19,54.986176,55.124424,54.718895,54.903225,40.331741,388100
2007-07-20,54.921658,54.930874,53.917049,54.036865,39.695313,759500
2007-07-23,55.447006,55.926266,55.354839,55.622120,40.859844,689400
2007-07-24,56.709679,56.728111,55.004608,55.188942,40.541622,1111200
2007-07-25,55.391705,55.474655,53.677418,54.313366,39.898434,1178500
2007-07-26,52.156681,52.562210,51.244240,51.668201,37.955303,1466300
2007-07-27,51.382488,51.815670,50.608295,50.626728,37.190231,806800
2007-07-30,50.654377,51.631336,50.506912,51.502304,37.833439,786200
2007-07-31,52.221199,52.497696,51.474655,51.603687,37.907909,734900
2007-08-01,51.327190,51.539169,50.377880,51.428570,37.779266,779600
2007-08-02,51.271889,52.230415,51.105991,51.732719,38.002689,644400
2007-08-03,51.373272,51.474655,50.405529,50.414745,37.034519,539600
2007-08-06,51.253456,52.258064,50.728111,52.258064,38.388622,933100
2007-08-07,51.447006,52.571430,51.299538,52.147465,38.307365,809000
2007-08-08,53.059906,53.778801,52.728111,53.225807,39.099510,570800
2007-08-09,50.230415,51.096775,49.557602,50.009216,36.736618,1056200
2007-08-10,47.834103,48.737328,47.059906,48.239632,35.436684,1626300
2007-08-13,49.677418,49.705070,48.414745,48.516129,35.639797,532000
2007-08-14,48.488480,48.552994,46.626728,46.958527,34.495590,890600
2007-08-15,45.520737,46.709679,45.354839,45.529953,34.120899,731500
2007-08-16,44.875576,45.281105,43.235023,45.078342,33.782455,1148300
2007-08-17,46.940094,47.539169,45.428570,46.682026,34.984299,876400
2007-08-20,46.700462,46.930874,45.990784,46.451614,34.811611,672900
2007-08-21,45.649769,46.248848,45.474655,45.852535,34.362656,1001300
2007-08-22,46.110600,46.857143,46.092167,46.857143,35.115517,524200
2007-08-23,47.004608,47.004608,46.082951,46.571430,34.901398,660200
2007-08-24,45.649769,45.686634,44.433178,44.847927,33.609783,1956300
2007-08-27,45.115208,45.299538,44.820278,45.105991,33.803173,660900
2007-08-28,44.046082,44.387096,42.949310,42.958527,32.193829,1144400
2007-08-29,44.543777,45.308754,44.101383,45.253456,33.913692,857900
2007-08-30,43.493088,44.617512,43.382488,43.981567,32.960518,1030800
2007-08-31,45.483871,45.944702,45.142857,45.714287,34.259052,2105200
2007-09-04,47.391705,47.557602,47.050690,47.437790,35.550671,763100
2007-09-05,46.248848,46.543777,45.880184,46.193550,34.618202,818500
2007-09-06,45.142857,45.631336,44.313366,45.336407,33.975861,2054400
2007-09-07,43.788017,44.239632,43.456223,43.917049,32.912170,1105800
2007-09-10,44.884792,44.976959,43.198158,43.732719,32.774036,1079200
2007-09-11,44.995392,45.603687,44.894009,45.548386,34.134720,878300
2007-09-12,45.244240,45.788017,45.050690,45.483871,34.086369,692600
2007-09-13,45.594471,46.101383,45.483871,45.990784,34.466251,407300
2007-09-14,43.741936,44.617512,43.677418,44.377880,33.257523,1315900
2007-09-17,43.059906,43.502304,42.562210,43.410137,32.532276,2098700
2007-09-18,44.700462,46.230415,44.110600,46.193550,34.618202,1573000
2007-09-19,47.004608,47.539169,46.672810,46.774193,35.053360,1104500
2007-09-20,46.552994,46.792625,46.193550,46.571430,34.901398,1064900
2007-09-21,47.373272,47.391705,47.105991,47.327190,35.467785,773100
2007-09-24,46.313366,46.451614,45.493088,45.502304,34.100185,941100
2007-09-25,43.778801,44.682026,43.741936,44.682026,33.485455,944200
2007-09-26,45.004608,45.152073,44.101383,44.543777,33.381844,839000
2007-09-27,45.391705,45.566822,44.755760,45.373272,34.003483,683700
2007-09-28,44.718895,44.976959,44.009216,44.811058,33.582134,631300
2007-10-01,45.142857,46.009216,45.133640,45.686634,34.238316,807300
2007-10-02,47.281105,47.447006,46.543777,46.912441,35.156963,905500
2007-10-03,47.926266,48.294930,47.769585,47.944702,35.930557,1820100
2007-10-04,49.400921,49.493088,48.193550,49.152073,36.835381,1235100
2007-10-05,49.566822,49.926266,49.456223,49.806450,37.325783,598000
2007-10-08,50.230415,50.497696,49.677418,50.046082,37.505367,579200
2007-10-09,49.723503,50.248848,49.622120,50.211983,37.629696,1014800
2007-10-10,49.354839,49.483871,49.059906,49.225807,36.890629,553100
2007-10-11,48.635944,49.032257,48.221199,48.479263,36.331165,642600
2007-10-12,48.202766,48.820278,48.119816,48.617512,36.434776,551700
2007-10-15,48.009216,48.156681,46.774193,47.483871,35.585197,886500
2007-10-16,46.248848,46.267281,45.741936,45.824886,34.341934,898200
2007-10-17,47.096775,47.133640,46.055298,46.589863,34.915211,814500
2007-10-18,45.677418,46.322582,45.354839,45.529953,34.120899,753900
2007-10-19,44.451614,44.783409,44.036865,44.110600,33.057201,1240100
2007-10-22,43.456223,44.175114,43.345623,43.898617,32.898350,883500
2007-10-23,45.483871,45.483871,44.377880,45.013824,33.734097,765000
2007-10-24,44.682026,44.820278,43.686634,44.460831,33.319683,1221300
2007-10-25,44.387096,44.460831,43.474655,43.594471,32.670414,1344200
2007-10-26,45.069126,45.317974,44.350231,45.161289,33.844620,1346000
2007-10-29,45.437790,45.502304,44.847927,45.382488,34.010395,960800
2007-10-30,45.419353,45.907833,45.317974,45.474655,34.079453,830100
2007-10-31,46.267281,46.866360,45.769585,46.866360,35.122429,1619500
2007-11-01,43.907833,44.129032,43.216591,43.529953,32.622066,1674200
2007-11-02,41.668201,42.294930,40.543777,41.317974,30.964367,2910500
2007-11-05,39.428570,40.322582,39.336407,39.898617,29.900688,2729500
2007-11-06,40.294930,40.764977,40.027649,40.718895,30.515411,1845200
2007-11-07,39.511520,40.138248,38.645161,38.709679,29.009674,1774100
